planet_name,host_star_name,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_rad_jup_rad,planet_mass_earth_mass,planet_mass_jup_mass,Eccentricity,planet_equil_temp_k,spectral_type,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,distance_parsec,stellar_surf_grav,declination_deg,discovery_method
11 Com b,11 Com,324.62,1.226,,,5505.066163333333,17.32133333333333,0.2345,,G8 III,4808.0,16.38,2.4633333333333334,93.1846,2.38,17.7932516,Radial Velocity
11 UMi b,11 UMi,516.219985,1.5266666666666666,,,3818.0947333333334,12.013333333333334,0.08,,K4 III,4276.5,26.935,2.0933333333333333,125.32099999999998,1.7650000000000001,71.8239428,Radial Velocity
14 And b,14 And,186.3,0.7616666666666667,,,1224.5504333333333,3.853,0.0,,K0 III,4850.5,11.275,1.7266666666666666,75.4392,2.59,39.2358367,Radial Velocity
14 Her b,14 Her,1766.3784171428572,2.81475,,,1642.3835912499999,5.167625,0.362925,,K0 V,5296.985,0.9766666666666667,0.9271428571428572,17.9323,4.42,43.8163621,Radial Velocity
16 Cyg B b,16 Cyg B,799.375,1.6628333333333334,,,533.5145283333333,1.6786666666666665,0.6760333333333334,,G2.5 V,5728.594,1.14,1.016,21.1397,4.343999999999999,50.5168243,Radial Velocity
17 Sco b,17 Sco,578.38,1.45,,,1373.01872,4.32,0.06,,K3 III,4157.0,25.92,1.22,124.953,1.7,-11.8377905,Radial Velocity
18 Del b,18 Del,988.075,2.5386666666666664,,,3109.0153800000003,9.782333333333334,0.052000000000000005,,G6 III,4979.5,8.65,2.1666666666666665,76.222,2.8449999999999998,10.839137799999998,Radial Velocity
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,330.0,18.647,1.664,3135.75,9.0,,1750.0,K7 V,4043.25,1.33,0.7925,139.135,4.0,-21.0831403,Imaging
24 Boo b,24 Boo,30.3403,0.192,,,284.93389,0.8965000000000001,0.037000000000000005,,G3 IV,4854.5,11.415,1.02,95.9863,2.3499999999999996,49.8446488,Radial Velocity
24 Sex b,24 Sex,452.8,1.333,,,632.46,1.99,0.09,,,5098.0,4.9,1.54,72.0691,3.5,-0.9023998,Radial Velocity
24 Sex c,24 Sex,883.0,2.08,,,273.32,0.86,0.29,,,5098.0,4.9,1.54,72.0691,3.5,-0.9023998,Radial Velocity
2M0437 b,2MASS J04372171+2651014,,118.0,,,1271.31363,4.0,,1450.0,M V,3100.0,0.84,0.17,128.484,4.5,26.8502997,Imaging
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,84.0,,,4131.79,13.0,,,M5.5/M6,,,0.19,,,-55.2658291,Imaging
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,52.0,11.209,1.0,7786.5,24.5,,1600.0,M3.5 V,3419.5,0.37,0.375,33.8281,4.86,-24.6646128,Imaging
2MASS J02192210-3925225 b,2MASS J02192210-3925225,,156.0,16.141,1.44,4417.837,13.9,,,M6,3064.0,0.28,0.11,,4.59,-39.4230767,Imaging
2MASS J0249-0557 c,2MASS J0249-0557 A,,1950.0,,,3686.80952,11.6,,,M6 V,,,0.05,66.0613,,-5.9599921,Imaging
2MASS J03590986+2009361 b,2MASS J03590986+2009361,,572.0,,,5720.91133,18.0,,2369.0,,,,,117.435,,20.1599759,Imaging
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,15.0,,,2383.6,7.5,,,M8.5,,,0.02,,,23.0308544,Imaging
2MASS J11011926-7732383 b,2MASS J11011926-7732383,,266.0,,,8899.1954,28.0,,2677.0,,,,,,,-77.5440912,Imaging
2MASS J11550485-7919108 b,2MASS J11550485-7919108,,587.0,,,6356.56814,20.0,,2506.0,,,,,100.862,,-79.3197558,Imaging
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,50.5,,,1430.075,4.5,,1200.0,M8,2825.0,0.22,0.105,64.308,5.03,-39.5484399,Imaging
2MASS J19383260+4603591 b,2MASS J19383260+4603591,411.0,0.92,,,597.51892,1.88,0.33,,,29564.0,0.2,0.48,396.332,5.51,46.0664076,Eclipse Timing Variations
2MASS J21252752-8138278 b,2MASS J21252752-8138278,,7493.0,,,3813.94088,12.0,,1616.0,,,,,34.1154,,-81.6414894,Imaging
2MASS J22362452+4751425 b,2MASS J22362452+4751425,,230.0,,,3972.875,12.5,,,K7 V,4045.0,,0.6,69.5737,,47.861683,Imaging
30 Ari B b,30 Ari B,338.5333366666667,0.9983333333333334,,,3210.039533333333,10.1,0.25299999999999995,,F6 V,6315.5,1.2233333333333334,1.4166666666666667,44.657000000000004,4.465,24.6480103,Radial Velocity
4 UMa b,4 UMa,269.78499999999997,0.8734999999999999,,,2383.990035,7.5009999999999994,0.4425,,K1 III,4415.0,18.11,1.23,73.4603,1.8,64.3280504,Radial Velocity
42 Dra b,42 Dra,479.1,1.19,,,1233.13,3.88,0.38,,K1.5 III,4200.0,22.03,0.98,90.6545,1.71,65.5633652,Radial Velocity
47 UMa b,47 UMa,1083.04,2.0957999999999997,,,812.223832,2.5556,0.0412,,G0 V,5861.053333333333,1.1749999999999998,1.0433333333333332,13.796699999999998,4.3149999999999995,40.4304931,Radial Velocity
47 UMa c,47 UMa,4088.0,4.911333333333333,,,251.81724,0.7923333333333334,0.09400000000000001,,G1 V,5850.58,1.1749999999999998,1.0350000000000001,13.7967,4.3149999999999995,40.4304931,Radial Velocity
47 UMa d,47 UMa,16501.0,12.7,,,500.570445,1.575,0.27,,,5850.58,1.1749999999999998,1.0350000000000001,13.7967,4.3149999999999995,40.4304931,Radial Velocity
51 Eri b,51 Eri,13326.5,13.066666666666668,,,635.66,2.0,0.33,700.0,F0 IV,7295.0,1.49,1.6833333333333333,29.757500000000004,4.31,-2.4738245,Imaging
51 Peg b,51 Peg,4.230530379999999,0.052262499999999996,,,148.360256,0.4668,0.00344,,,5763.920000000001,1.22,1.0466666666666666,15.461400000000001,4.316666666666666,20.7690958,Radial Velocity
55 Cnc b,55 Cnc,14.632668666666667,0.11403475,,,263.08102583333334,0.8277666666666667,0.013758333333333332,700.0,G8 V,5241.412857142857,0.9566666666666667,0.9179999999999999,12.585500000000001,4.438571428571429,28.3298154,Radial Velocity
55 Cnc c,55 Cnc,44.325675,0.23927825,,,55.53513375,0.1747375,0.102375,,,5248.315,0.9566666666666667,0.9225,12.5855,4.428333333333334,28.3298154,Radial Velocity
55 Cnc d,55 Cnc,5000.5599999999995,5.5963,,,1137.00417,3.5774999999999997,0.11499000000000001,,G8 V,5248.315,0.9566666666666667,0.9255555555555556,12.5855,4.428333333333334,28.3298154,Radial Velocity
55 Cnc e,55 Cnc,1.0120187526666666,0.019643636363636363,1.97525,0.176125,8.667004615384615,0.02723153846153846,0.081625,1958.0,G8 V,5239.080909090909,0.9546153846153846,0.9226666666666666,12.5855,4.430909090909091,28.3298154,Radial Velocity
55 Cnc f,55 Cnc,260.81,0.7785857142857143,,,47.39125571428571,0.14909999999999998,0.161,,,5248.315,0.9566666666666667,0.9185714285714285,12.5855,4.428333333333334,28.3298154,Radial Velocity
6 Lyn b,6 Lyn,906.9835,2.1295,,,675.4694575,2.12525,0.0935,,K0 IV,4952.333333333333,5.135,1.57,54.6599,3.17,58.1611753,Radial Velocity
61 Vir b,61 Vir,4.2149350000000005,0.0498805,,,5.10852,0.016050000000000002,0.1095,,G5 V,5581.285,0.995,0.925,8.50332,4.355,-18.3157745,Radial Velocity
61 Vir c,61 Vir,38.058350000000004,0.2163,,,17.156950000000002,0.05385,0.10400000000000001,,G5 V,5581.285,0.995,0.925,8.50332,4.355,-18.3157745,Radial Velocity
61 Vir d,61 Vir,123.01,0.476,,,22.9,0.072,0.35,,G5 V,5577.0,0.96,0.94,8.50332,4.34,-18.3157745,Radial Velocity
7 CMa b,7 CMa,764.6999999999999,1.8626666666666667,,,732.0491000000001,2.3033333333333332,0.14,,K1 III,4804.173333333333,4.026666666666666,1.4300000000000002,19.8101,3.2199999999999998,-19.2561808,Radial Velocity
7 CMa c,7 CMa,996.0,2.153,,,276.5121,0.87,0.08,,,4826.0,4.87,1.34,19.8101,3.19,-19.2561808,Radial Velocity
70 Vir b,70 Vir,116.68995833333334,0.47641666666666665,,,2315.67721,7.2860000000000005,0.3990666666666667,,,5498.372,1.8975,1.098,17.9011,3.9560000000000004,13.7763085,Radial Velocity
75 Cet b,75 Cet,694.26,2.0060000000000002,,,870.69331,2.7395,0.10500000000000001,,G3 III,4827.5,10.440000000000001,2.205,82.9613,2.66,-1.0350269,Radial Velocity
75 Cet c,75 Cet,2051.62,3.929,,,289.85951,0.912,0.023,,G3 III,4809.0,10.38,1.92,82.9613,2.69,-1.0350269,Radial Velocity
8 UMi b,8 UMi,93.4,0.49,,,446.55115,1.405,0.06,,K0,4847.2,10.100000000000001,1.62,162.552,2.57,74.9009379,Radial Velocity
81 Cet b,81 Cet,979.135,2.258,,,1336.6195133333333,4.205666666666667,0.1215,,G5 III,4759.5,11.105,1.7433333333333334,101.26,2.38,-3.3963607000000002,Radial Velocity
91 Aqr b,91 Aqr,181.4,0.7,,,1017.0,3.2,0.027,,K0 III,4665.0,11.0,1.4,44.0304,2.52,-9.0878076,Radial Velocity
AB Aur b,AB Aur,,93.9,,,2860.45566,9.0,0.4,,,9770.0,,2.4,162.127,,30.5510888,Imaging
AB Pic b,AB Pic,,260.0,,,4290.5,13.5,,,K2 V,,,,50.0475,,-58.0541184,Imaging
AF Lep b,AF Lep,8203.333333333334,8.563333333333334,,,1349.3934733333333,4.245666666666667,0.3433333333333333,1400.0,F8 V,6123.333333333333,1.25,1.1766666666666665,26.856399999999997,4.4,-11.901175200000003,Imaging
AU Mic b,AU Mic,8.463094688888889,0.06486,4.105,0.36624999999999996,22.221566666666664,0.06991499999999999,0.06453857142857143,596.5,M1,3690.5,0.7585714285714286,0.5157142857142857,9.7221,4.425,-31.34245,Transit
AU Mic c,AU Mic,18.859086833333333,0.11025,2.8506666666666667,0.2543333333333333,14.899999999999999,0.04688,0.043595,456.5,,3685.75,0.762,0.522,9.7221,4.4366666666666665,-31.34245,Transit
AU Mic d,AU Mic,12.73596,,,,1.053,0.00331,0.00305,,,3678.0,0.74,0.51,9.7221,4.4,-31.34245,Transit Timing Variations
BD+03 2562 b,BD+03 2562,481.9,1.3,,,2034.112,6.4,0.2,,,4095.0,32.35,1.14,1070.63,1.89,2.7601075,Radial Velocity
BD+14 4559 b,BD+14 4559,268.94,0.7785,,,398.8666,1.255,0.29,,K2 V,4936.0,0.905,0.675,49.352,4.43,14.6893834,Radial Velocity
BD+15 2375 b,BD+15 2375,153.22,0.576,,,337.21763,1.061,0.001,,,4649.0,8.95,1.08,768.045,2.61,14.6163182,Radial Velocity
